"Pred","Prey","value"
"SPL","SCR",0.0695193045654843
"SPL","BFF",0.0626293825094403
"SPL","COR",0.114584749932056
"SPL","SUR",0.123772991006795
"SPL","MOL",0.194365181581006
"SPL","MA",0.420366953419351
"GCR","SCR",0.0462827979721428
"GCR","BFF",0.0488028879161762
"GCR","COR",0.0149394196682225
"GCR","SUR",0.038337341148597
"GCR","MOL",0.112354177504817
"GCR","PB",0.562251947513402
"GCR","DL",0.176959326070054
"BRC","SZO",0.0471786266352041
"BRC","MZO",0.441579875945348
"BRC","LZO",0.0219602982956693
"BRC","SCR",0.0163651172203368
"BRC","LPH",0.342137484606474
"BRC","MOL",0.01017468103699
"BRC","MA",0.0452660626094537
"BRC","PB",0.074217623999252
"VID","MPF",0.946184931465564
"VID","MZO",0.0317219432707142
"ORO","ALF",0.0199016011346558
"ORO","SQD",0.0297002544547768
"ORO","SBF",0.0514999170545889
"ORO","MPF",0.61804294865426
"ORO","MZO",0.116328467864497
"ORO","LZO",0.0498089739856305
"ORO","SCR",0.114646772895369
"ALF","MPF",0.804729433311465
"ALF","SZO",0.0536095602206036
"ALF","MZO",0.028650031117895
"ALF","LZO",0.0166435290684882
"ALF","LPH",0.086540620356115
"ANG","OCT",0.0104202843380692
"ANG","SPF",0.0762675389367196
"ANG","SBF",0.205500843778648
"ANG","MPF",0.483005531129356
"ANG","SCR",0.106257976368478
"ANG","SUR",0.0889584484712937
"ANG","MOL",0.0204496338784618
"CHO","ORO",0.0292006650716853
"CHO","ANG",0.0378448934225091
"CHO","OCT",0.0352061926069948
"CHO","LPF",0.25639084950745
"CHO","SBF",0.449673522643856
"CHO","MPF",0.13626844219119
"CHO","LBF",0.0464473924600875
"OTA","OCT",0.0187024538065821
"OTA","SBF",0.179064458148143
"OTA","MPF",0.788281211847719
"DOL","LPF",0.114088774204493
"DOL","SBF",0.77576792538101
"DOL","MPF",0.0791926805054798
"DOL","LBF",0.0216221546712598
"BIR","MPF",0.996899912329544
"SQD","LPH",0.0271720506606069
"SQD","DL",0.741847918035807
"SQD","DR",0.223221005426949
"OCT","OCT",0.417555383297785
"OCT","SCR",0.194818192207272
"OCT","MOL",0.380459084781637
"LPF","OCT",0.0181499003250944
"LPF","SBF",0.0134594436186093
"LPF","MPF",0.870566451203661
"LPF","MZO",0.0192341008265934
"LPF","LZO",0.0204203096282335
"LPF","LPH",0.0307275192424844
"SPF","MPF",0.0480746035366777
"SPF","SZO",0.0105851488319304
"SPF","MZO",0.706662498779704
"SPF","LZO",0.0646516069734702
"SPF","LPH",0.161925487428968
"SBF","MPF",0.562030751686401
"SBF","MZO",0.261185059107282
"SBF","LZO",0.159988721903363
"MPF","SZO",0.0698360580443975
"MPF","MZO",0.590910852683863
"MPF","LZO",0.127193943402682
"MPF","LPH",0.0998776398195287
"MPF","PB",0.106973642784805
"LBF","BRC",0.0110724198994893
"LBF","ANG",0.0602457732530998
"LBF","LPF",0.0437900999403561
"LBF","SPF",0.0809111560593365
"LBF","SBF",0.235793159755765
"LBF","MPF",0.311051350996982
"LBF","SZO",0.0924524702963288
"LBF","MZO",0.116071607372033
"LBF","LZO",0.0425831270364875
"SZO","SPH",0.8917934
"SZO","PB",0.1082066
"MZO","SZO",0.737862480411891
"MZO","LPH",0.217084494237036
"MZO","SPH",0.0434937188453679
"LZO","MZO",0.254287296185691
"LZO","LPH",0.742587288861191
"SCR","SCR",0.0317297121485813
"SCR","BFF",0.0609961741303633
"SCR","SUR",0.252410617092015
"SCR","MOL",0.585804139667798
"SCR","DL",0.0672585845544231
"BFF","BB",0.185818999549765
"BFF","DL",0.47346289885281
"BFF","DR",0.340718099174448
"COR","SZO",0.317865384934234
"COR","DL",0.049445377656453
"COR","DR",0.629338070171461
"SUR","COR",0.0257764802835413
"SUR","MA",0.951775110469526
"SUR","DR",0.0129189301421082
"MOL","BFF",0.0239700026102109
"MOL","COR",0.488518453197166
"MOL","MOL",0.13778111500366
"MOL","DL",0.341888237229884
